date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,624,994,1416,80,205,197,1086,,42,,,168,90,669,213,49,5833
2020-12-28,2020-12-29 08:00,1720,1457,3340,60,276,507,1480,100,79,,,658,240,1592,588,135,12232
2020-12-30,2020-12-31 08:30,5347,5831,6554,204,821,832,4677,173,296,0,0,1641,150,3107,1385,232,31250
2020-12-31,2021-01-01 12:30,7578,7840,7029,204,821,1129,6073,178,567,,,2065,226,3506,1766,232,39214
2021-01-01,2021-01-02 08:00,9087,7840,8662,204,821,1129,6909,178,773,,,2508,297,3782,2130,232,44552
2021-01-02,2021-01-03 08:00,11041,12855,9817,204,824,1439,8443,178,912,,,3122,368,4237,2525,232,56197
2021-01-03,2021-01-04 12:00,12584,15480,10507,204,824,1616,9387,178,992,0,0,3122,487,4391,2801,232,62805
2021-01-04,2021-01-05 12:00,15546,18188,11608,227,942,1704,10329,242,1791,0,0,3655,662,4967,3427,446,73734
2021-01-05,2021-01-06 11:00,18907,18957,13487,287,982,1996,11393,456,3341,,,4279,820,5402,4092,468,84867
2021-01-06,2021-01-07 11:00,22030,19266,15037,436,1018,2415,11916,811,5209,,,4940,858,5569,4842,650,94997
2021-01-07,2021-01-08 11:00,25827,20212,16673,1029,1033,2788,12286,1260,7075,0,2154,5596,985,6008,5606,782,109314
2021-01-08,2021-01-09 11:00,29263,20665,18591,1608,1054,3172,12574,1473,9369,0,3777,6236,1024,6427,6486,903,122622
2021-01-10,2021-01-11 11:00,35369,27674,21120,1682,1070,4312,14595,1473,9968,,3852,6956,1357,6860,7457,903,144648
2021-01-11,2021-01-12 11:00,38372,31681,22634,2426,1073,4944,15315,1596,11768,0,7095,7656,1805,7572,11324,1074,166335
2021-01-12,2021-01-13 11:00,41457,35434,24446,3920,1104,5578,15955,2076,13316,0,10246,8358,2210,8533,13202,1149,186984
2021-01-13,2021-01-14 11:00,44631,40128,26527,5612,1181,6274,16135,2516,14524,,14321,9064,2528,9342,14059,1150,207992
2021-01-14,2021-01-15 11:00,49161,44096,28323,7410,1197,6851,17201,2976,15628,0,17781,9796,3005,10103,14965,3428,231921
2021-01-15,2021-01-16 11:00,52522,47873,30563,9067,1246,7822,18056,3454,16901,0,22896,10634,3555,10605,15838,4383,255415
2021-01-17,2021-01-18 11:00,58770,52396,35672,9387,1313,9376,19451,3452,17897,,24876,11626,4344,10856,17562,5024,282002
2021-01-18,2021-01-19 14:00,62507,53985,39326,11184,1484,10290,19911,4022,18692,0,30312,12177,4598,12298,18538,6144,305468
2021-01-19,2021-01-20 10:00,67344,55636,43032,13698,1537,11096,22077,4601,20162,0,33946,12754,5342,13565,19504,6144,330438
2021-01-20,2021-01-21 10:00,72136,57100,46791,16170,1673,11873,25491,5817,22031,0,37831,13307,5762,15052,20470,8932,360436
2021-01-21,2021-01-22 10:00,78037,61532,51238,19012,1937,12679,27587,6959,52069,0,41365,13800,6115,16153,21455,10240,420178
2021-01-22,2021-01-23 10:00,86619,66289,55753,21558,2208,13585,30790,8053,55737,0,44934,14367,6115,17002,22430,11493,456933
2021-01-24,2021-01-25 10:00,98732,75514,63727,21558,2859,15040,38596,8059,27405,0,45140,15048,7523,17585,24372,12443,473601
2021-01-25,2021-01-26 10:00,105805,128092,68167,23238,3233,15854,44105,8785,28968,0,48324,15943,8018,18431,25975,13728,556666
2021-01-26,2021-01-27 10:00,114086,133015,73048,25346,3669,16787,48011,9484,29524,0,51779,16922,8593,19525,27485,15344,592618
2021-01-27,2021-01-28 10:00,121921,138839,77348,26909,4119,17713,51775,10639,32148,0,51784,17929,9076,20651,28472,16896,626219
2021-01-28,2021-01-29 10:00,143457,143783,81075,28868,9009,18740,55416,11289,34567,0,54492,18977,9510,21641,30109,18378,679311
2021-01-29,2021-01-30 10:00,157318,148024,85543,32308,9261,19539,59146,11877,37289,0,56333,19951,10229,22696,31745,19748,721007
2021-01-31,2021-02-01 10:00,172023,157851,92982,32386,10277,21335,65526,11877,39012,73085,56408,20994,12769,23226,34187,20756,844694
2021-02-01,2021-02-02 10:00,179519,164702,97111,34620,10708,22518,69009,12269,41949,77708,59877,21994,14418,24333,35670,22282,888687
2021-02-02,2021-02-03 10:00,187263,171261,101750,36933,11080,23843,71261,12566,44751,81135,63399,22983,16432,25532,37294,23675,931158
2021-02-03,2021-02-04 10:00,195229,180484,106242,38930,11569,25029,74585,13407,47789,84810,67142,24083,18087,26746,38883,26951,979966
2021-02-04,2021-02-05 10:00,202757,187883,110120,41090,12178,26139,78244,13931,51436,89260,70622,25047,19714,28130,40891,30152,1027594
2021-02-05,2021-02-06 10:00,211809,195259,114645,43527,12690,27586,82294,14409,54907,91036,74149,26186,22026,29192,42755,33266,1075736
2021-02-07,2021-02-08 11:00,226418,206310,121850,43758,13544,29686,87746,14409,56714,71319,74424,27271,26215,29376,46356,34450,1109846
2021-02-08,2021-02-09 10:00,234570,212825,125596,46054,14037,31173,92246,14754,59614,74962,77621,27839,28727,29991,48259,36283,1154551
2021-02-09,2021-02-10 10:00,243858,221023,129351,48551,14593,32671,97062,15512,62008,108547,81026,28435,32573,31236,50203,39561,1236210
2021-02-10,2021-02-11 10:00,252728,228789,133201,51505,15407,34232,101192,16661,65244,134449,84626,29556,35631,32899,52087,42766,1310973
2021-02-11,2021-02-12 10:00,261550,237487,136968,54500,15886,35876,106972,16950,70246,142369,88022,30720,38384,34632,53870,45673,1370105
2021-02-12,2021-02-13 08:00,272951,246637,141034,57381,16316,37245,111083,17691,77507,155333,93066,31930,41136,36037,55545,48853,1439745
2021-02-14,2021-02-15 08:00,290756,260032,148624,57500,17462,39971,120161,17690,82264,176384,95084,33096,45986,36515,59274,50454,1531253
2021-02-15,2021-02-16 08:00,300213,269349,153332,59720,18139,41549,125005,18604,89755,191256,98960,34164,48955,37858,61469,53530,1601858
2021-02-16,2021-02-17 10:00,311743,278438,157599,61603,18802,43073,129190,19862,97224,201808,102504,35101,51932,39129,63468,60163,1671639
2021-02-17,2021-02-18 08:00,322798,290522,161934,63398,19489,44551,134728,21620,107363,213766,108105,36182,56390,40858,65511,63177,1750392
2021-02-18,2021-02-19 08:00,333617,303002,166180,65627,20156,46043,139865,23375,118535,217858.988,112858,37168,61095,43142,67533,66533,1822587.988
