date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,dosen_astrazeneca_kumulativ,dosen_erst_astrazeneca_kumulativ,dosen_voll_astrazeneca_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,dosen_erst_differenz_zum_vortag,dosen_voll_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll
2020-12-27,2020-12-28 16:15,590,590,0,590,590,0,0,0,0,0,0,0,0,,0,240,240,0,0,,0,350,350,0,,,,0.03668839365775823,0.03668839365775823,0,0.3668839365775823,0.3668839365775823,0
2020-12-28,2020-12-29 08:00,4170,4170,0,4170,4170,0,0,0,0,0,0,0,100,100,0,1862,1862,0,2,2,0,2209,2209,0,3488,,,0.25930610432686746,0.25930610432686746,0,2.5930610432686745,2.5930610432686745,0
2020-12-30,2020-12-31 08:30,11101,11101,0,11101,11101,0,0,0,0,0,0,0,173,173,0,6349,6349,0,7,7,0,4651,4651,0,3640,,,0.6903014542284307,0.6903014542284307,0,6.903014542284306,6.903014542284306,0
2020-12-31,2021-01-01 12:30,11494,11494,0,11494,11494,0,0,0,0,0,0,0,178,178,0,6583,6583,0,8,8,0,4804,4804,0,393,,,0.7147396554275814,0.7147396554275814,0,7.147396554275814,7.147396554275814,0
2021-01-01,2021-01-02 08:00,11494,11494,0,11494,11494,0,0,0,0,0,0,0,178,178,0,6583,6583,0,8,8,0,4804,4804,0,,,,0.7147396554275814,0.7147396554275814,0,7.147396554275814,7.147396554275814,0
2021-01-02,2021-01-03 08:00,11494,11494,0,11494,11494,0,0,0,0,0,0,0,178,178,0,6583,6583,0,8,8,0,4804,4804,0,,,,0.7147396554275814,0.7147396554275814,0,7.147396554275814,7.147396554275814,0
2021-01-03,2021-01-04 12:00,11494,11494,0,11494,11494,0,0,0,0,0,0,0,178,178,0,6583,6583,0,8,8,0,4804,4804,0,,,,0.7147396554275814,0.7147396554275814,0,7.147396554275814,7.147396554275815,0
2021-01-04,2021-01-05 12:00,13832,13832,0,13832,13832,0,0,0,0,0,0,0,242,242,0,7738,7738,0,29,29,0,5968,5968,0,1773,,,0.8601251882612064,0.8601251882612064,0,8.601251882612065,8.601251882612065,0
2021-01-05,2021-01-06 11:00,18014,18014,0,18014,18014,0,0,0,0,0,0,0,456,456,0,10024,10024,0,27,27,0,7828,7828,0,2570,,,1.120177497204842,1.120177497204842,0,11.201774972048419,11.201774972048419,0
2021-01-06,2021-01-07 11:00,21713,21713,0,21713,21713,0,0,0,0,0,0,0,811,811,0,11746,11746,0,46,46,0,9712,9712,0,2359,,,1.3501950703235668,1.3501950703235668,0,13.501950703235668,13.501950703235668,0
2021-01-07,2021-01-08 11:00,24060,24060,0,24060,24060,0,0,0,0,0,0,0,1260,1260,0,12515,12515,0,137,137,0,11130,11130,0,1792,,,1.4961402566197677,1.4961402566197677,0,14.961402566197677,14.961402566197677,0
2021-01-08,2021-01-09 11:00,25141,25141,0,25141,25141,0,0,0,0,0,0,0,1473,1473,0,13122,13122,0,194,194,0,11541,11541,0,779,,,1.5633608558469485,1.5633608558469485,0,15.633608558469485,15.633608558469486,0
2021-01-10,2021-01-11 11:00,25141,25141,0,25141,25141,0,0,0,0,0,0,0,1473,1473,0,13122,13122,0,194,194,0,11541,11541,0,0,,,1.5633608558469485,1.5633608558469485,0,15.633608558469485,15.633608558469486,0
2021-01-11,2021-01-12 11:00,26926,26926,0,26926,26926,0,0,0,0,0,0,0,1596,1596,0,13895,13895,0,342,342,0,12311,12311,0,1553,,,1.6743587925911831,1.6743587925911831,0,16.743587925911832,16.743587925911832,0
2021-01-12,2021-01-13 11:00,29100,29100,0,29100,29100,0,0,0,0,0,0,0,2076,2076,0,14928,14928,0,376,376,0,13031,13031,0,2059,,,1.8095461956623127,1.8095461956623127,0,18.095461956623126,18.095461956623126,0
