date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,dosen_biontech_kumulativ,dosen_erst_biontech_kumulativ,dosen_voll_biontech_kumulativ,dosen_moderna_kumulativ,dosen_erst_moderna_kumulativ,dosen_voll_moderna_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,dosen_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll
2020-12-27,2020-12-28 16:15,1252,1252,0,1252,1252,0,0,0,0,0,,0,620,620,0,0,,0,632,632,0,,0.030582063131442048,0.030582063131442048,0,0.3058206313144205,0.3058206313144205,0
2020-12-28,2020-12-29 08:00,1462,1462,0,1462,1462,0,0,0,0,0,,0,715,715,0,0,,0,747,747,0,210,0.035711642410677535,0.035711642410677535,0,0.35711642410677535,0.35711642410677535,0
2020-12-30,2020-12-31 08:30,4247,4247,0,4247,4247,0,0,0,0,0,0,0,1941,1941,0,0,0,0,2306,2306,0,1673,0.10373963428053865,0.10373963428053865,0,1.0373963428053865,1.0373963428053865,0
2020-12-31,2021-01-01 12:30,5112,5112,0,5112,5112,0,0,0,0,0,,0,2329,2329,0,0,,0,2783,2783,0,865,0.12486861559738958,0.12486861559738958,0,1.2486861559738958,1.2486861559738958,0
2021-01-01,2021-01-02 08:00,6898,6898,0,6898,6898,0,0,0,0,0,,0,3166,3166,0,0,,0,3732,3732,0,439,0.1684944660388876,0.1684944660388876,0,1.6849446603888758,1.6849446603888758,0
2021-01-02,2021-01-03 08:00,7248,7248,0,7248,7248,0,0,0,0,0,,0,3516,3516,0,0,,0,3732,3732,0,59,0.1770437648376134,0.1770437648376134,0,1.770437648376134,1.770437648376134,0
2021-01-03,2021-01-04 12:00,8282,8282,0,8282,8282,0,0,0,0,0,0,0,4213,4213,0,0,0,0,4069,4069,0,658,0.2023008361458491,0.2023008361458491,0,2.023008361458491,2.023008361458491,0
2021-01-04,2021-01-05 12:00,9891,9891,0,9891,9891,0,0,0,0,0,0,0,5435,5435,0,0,0,0,4456,4456,0,1609,0.24160318405199147,0.24160318405199147,0,2.416031840519915,2.4160318405199144,0
2021-01-05,2021-01-06 11:00,12336,12336,0,12336,12336,0,0,0,0,0,,0,7191,7191,0,0,,0,5145,5145,0,2445,0.30132614280309034,0.30132614280309034,0,3.0132614280309036,3.0132614280309036,0
2021-01-06,2021-01-07 11:00,15984,15984,0,15984,15984,0,0,0,0,0,,0,9796,9796,0,0,,0,6188,6188,0,3648,0.39043426285380967,0.39043426285380967,0,3.904342628538097,3.904342628538097,0
