date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2020-12-27,2020-12-28 16:15,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08 11:00,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-09 11:00,,,,,,,,,,,,,,,,,
2021-01-10,2021-01-11 11:00,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12 11:00,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13 11:00,,,,,,,,,,,,,,,,,
2021-01-13,2021-01-14 11:00,,,,,,,,,,,,,,,,,
2021-01-14,2021-01-15 11:00,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-16 11:00,,,,,,,,,,,,,,,,,
2021-01-17,2021-01-18 11:00,5352,5296,1571,0,394,1184,926,0,813,5728,2879,250,3019,21,3524,195,31152
2021-01-18,2021-01-19 14:00,7354,6481,2512,2620,614,1945,1255,1420,3546,2360,7496,1246,3661,1263,3277,2239,49289
2021-01-19,2021-01-20 10:00,5796,5998,2050,3977,461,1980,2836,2310,6410,2778,6609,802,4913,1529,3380,2512,54341
2021-01-20,2021-01-21 10:00,6274,6148,2383,4477,415,1607,5112,2621,7363,11057,4724,853,3550,2809,2762,2622,64777
2021-01-21,2021-01-22 10:00,5818,5834,4110,4598,613,1883,2537,2433,7584,3834,5946,253,2602,1477,3088,2378,54988
2021-01-22,2021-01-23 10:00,11179,6990,4283,3972,827,1442,4693,2212,8161,20068,6209,339,2629,1516,2911,1870,79301
2021-01-24,2021-01-25 10:00,6079,4878,3306,0,486,674,2903,0,598,12865,0,0,1650,71,1258,255,35023
2021-01-25,2021-01-26 10:00,8458,10384,3455,3457,525,0,7227,1145,3948,560,4867,776,2440,1646,1655,2200,52743
2021-01-26,2021-01-27 10:00,7961,10696,3138,2277,585,1446,4613,805,1926,2991,4736,763,3458,1225,1430,2564,50614
2021-01-27,2021-01-28 10:00,8953,12681,2913,1001,523,1615,5887,1042,3488,2954,849,692,2326,1775,286,2096,49081
2021-01-28,2021-01-29 10:00,7321,11458,2749,3172,542,1214,4281,1189,2343,6875,969,818,2539,1433,1116,2215,50234
2021-01-29,2021-01-30 10:00,10289,10731,5088,3222,369,1596,4764,1276,3040,5290,1148,684,2293,1359,964,2117,54230
2021-01-31,2021-02-01 10:00,5855,3919,2769,0,349,1082,4179,0,1783,6110,541,0,2575,314,67,827,30370
2021-02-01,2021-02-02 10:00,7169,6964,2843,1444,348,1231,4448,802,3093,1732,71,663,2899,1467,1325,1575,38074
2021-02-02,2021-02-03 10:00,7083,8287,3121,698,266,1417,3510,762,3415,7153,450,636,3052,1033,1140,1702,43725
2021-02-03,2021-02-04 10:00,7478,10443,2617,764,351,1376,4573,1001,4442,2333,511,743,2732,1504,1012,2651,44531
2021-02-04,2021-02-05 10:00,6024,9383,2444,520,394,1028,4673,962,5420,11153,754,389,2660,1378,1452,2884,51518
2021-02-05,2021-02-06 10:00,9495,8583,2762,656,506,951,4506,1220,5056,6067,769,514,3288,1649,1070,2798,49890
2021-02-07,2021-02-08 11:00,6327,7152,2396,0,242,417,3136,0,367,6959,737,0,2176,85,913,156,31063
2021-02-08,2021-02-09 10:00,7117,9280,1996,740,343,1169,5306,529,3920,3004,318,771,3066,729,914,1562,40764
2021-02-09,2021-02-10 10:00,8674,12466,2118,543,328,1158,5511,668,3096,12170,145,774,3573,896,1126,3047,56293
2021-02-10,2021-02-11 10:00,8684,14846,2291,503,420,2117,4717,1391,4156,19773,218,1621,2688,1575,1207,2218,68425
2021-02-11,2021-02-12 10:00,7981,14343,1695,630,447,2030,5745,1173,5701,15620,409,1708,2899,2519,1519,2210,66629
2021-02-12,2021-02-13 08:00,8727,15468,1830,780,419,1652,4039,1392,7706,20419,390,1619,3111,3440,956,2779,74727
2021-02-14,2021-02-15 08:00,5321,7516,996,0,436,1017,3434,0,1011,11904,710,0,2612,0,595,214,35766
2021-02-15,2021-02-16 08:00,7719,11652,1888,57,385,1413,4088,1064,9226,17842,1657,1562,3143,1842,2756,2247,68541
2021-02-16,2021-02-17 10:00,11346,11594,6953,317,640,1656,4798,1275,10438,16646,2222,1533,2800,1279,2933,2162,78592
2021-02-17,2021-02-18 08:00,9681,14631,2280,986,790,1603,5959,1314,13592,18634,7087,1602,4535,2122,2604,2520,89940
2021-02-18,2021-02-19 08:00,9941,15098,2100,1354,728,1866,6342,1007,13453,15868,6247,1218,4684,3709,2656,2558,88829
2021-02-19,2021-02-20 08:00,11700,15787,2347,863,837,2420,4897,998,14636,15177,5171,1338,6010,2258,2740,1976,89155
2021-02-21,2021-02-22 08:00,8142,12833,2437,0,556,2996,3229,0,386,16015,345,0,6618,7,2369,53,55986
2021-02-22,2021-02-23 08:00,10070,19284,4539,1897,655,2353,4914,1573,11653,17090,5282,1140,6176,3638,2321,2644,95229
2021-02-23,2021-02-24 08:00,11650,20586,2133,3418,824,2118,6144,1888,13179,13814,5568,1377,7948,2443,3002,2842,98934
2021-02-24,2021-02-25 08:00,13100,24223,2899,4243,822,2629,8472,2043,14584,17884,4908,1405,5418,2369,2616,2745,110360
