date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,personen_auffr_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,personen_auffr_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,personen_auffr_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,personen_auffr_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,personen_auffr_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_alter_auffr,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_beruf_auffr,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_medizinisch_auffr,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,indikation_pflegeheim_auffr,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,personen_auffr_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_quote_auffr,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,impf_inzidenz_auffr,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,personen_auffr_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_quote_auffr_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,impf_inzidenz_auffr_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,personen_auffr_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_quote_auffr_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,impf_inzidenz_auffr_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,personen_auffr_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_quote_auffr_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,impf_inzidenz_auffr_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,personen_auffr_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_quote_auffr_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,impf_inzidenz_auffr_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,personen_auffr_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_quote_auffr_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus,impf_inzidenz_auffr_alter_60plus
2020-12-27,2020-12-28 16:15,100,100,0,100,0,,100,100,0,100,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,80,80,0,80,0,,20,20,0,20,0,,,,0,,0,,12,12,0,12,0,,,,,,,,0.0039652752912197305,0.0039652752912197305,0,0.0039652752912197305,0,,0.0396527529121973,0.0396527529121973,0,0.0396527529121973,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,107,107,0,107,0,,107,107,0,107,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,60,60,0,60,0,,47,47,0,47,0,,,,0,,0,,60,60,0,60,0,,75,,,,,,0.004242844561605111,0.004242844561605111,0,0.004242844561605111,0,,0.042428445616051115,0.042428445616051115,0,0.042428445616051115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,3036,3036,0,3036,0,,3036,3036,0,3036,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,204,204,0,204,0,,2812,2812,0,2812,0,,20,20,0,20,0,,224,224,0,224,0,,1483,,,,,,0.12038575784143102,0.12038575784143102,0,0.12038575784143102,0,,1.2038575784143102,1.2038575784143102,0,1.2038575784143102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,3219,3219,0,3219,0,,3219,3219,0,3219,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,204,204,0,204,0,,2995,2995,0,2995,0,,20,20,0,20,0,,224,224,0,224,0,,183,,,,,,0.12764221162436312,0.12764221162436312,0,0.12764221162436312,0,,1.2764221162436313,1.2764221162436313,0,1.2764221162436313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,3219,3219,0,3219,0,,3219,3219,0,3219,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,204,204,0,204,0,,2995,2995,0,2995,0,,20,20,0,20,0,,224,224,0,224,0,,,,,,,,0.12764221162436312,0.12764221162436312,0,0.12764221162436312,0,,1.2764221162436313,1.2764221162436313,0,1.2764221162436313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,3219,3219,0,3219,0,,3219,3219,0,3219,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,204,204,0,204,0,,2995,2995,0,2995,0,,20,20,0,20,0,,224,224,0,224,0,,,,,,,,0.12764221162436312,0.12764221162436312,0,0.12764221162436312,0,,1.2764221162436313,1.2764221162436313,0,1.2764221162436313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,3309,3309,0,3309,0,,3309,3309,0,3309,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,204,204,0,204,0,,3085,3085,0,3085,0,,20,20,0,20,0,,224,224,0,224,0,,,,,,,,0.13121095938646088,0.13121095938646088,0,0.13121095938646088,0,,1.3121095938646088,1.3121095938646088,0,1.3121095938646088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,3334,3334,0,3334,0,,3334,3334,0,3334,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,227,227,0,227,0,,3087,3087,0,3087,0,,20,20,0,20,0,,224,224,0,224,0,,25,,,,,,0.1322022782092658,0.1322022782092658,0,0.1322022782092658,0,,1.3220227820926582,1.3220227820926582,0,1.3220227820926582,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,5404,5404,0,5404,0,,5404,5404,0,5404,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,287,287,0,287,0,,5097,5097,0,5097,0,,20,20,0,20,0,,224,224,0,224,0,,2070,,,,,,0.21428347673751424,0.21428347673751424,0,0.21428347673751424,0,,2.1428347673751422,2.1428347673751422,0,2.1428347673751422,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,8182,8182,0,8182,0,,8182,8182,0,8182,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,436,436,0,436,0,,7724,7724,0,7724,0,,21,21,0,21,0,,433,433,0,433,0,,2778,,,,,,0.32443882432759835,0.32443882432759835,0,0.32443882432759835,0,,3.2443882432759836,3.2443882432759836,0,3.2443882432759836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
