date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus
2020-12-27,2020-12-28 16:15,2084,2084,0,2084,0,2084,2084,0,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,624,0,624,0,964,964,0,964,0,151,151,0,151,0,,,0,,0,,,,,,0.018774108378495392,0.018774108378495392,0,0.018774108378495392,0,0.18774108378495394,0.18774108378495394,0,0.18774108378495394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,4721,4721,0,4721,0,4721,4721,0,4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,1720,0,1720,0,1877,1877,0,1877,0,326,326,0,326,0,192,192,0,192,0,2560,,,,,0.0425300219073305,0.0425300219073305,0,0.0425300219073305,0,0.42530021907330495,0.42530021907330495,0,0.42530021907330495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,12649,12649,0,12649,0,12649,12649,0,12649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5347,5347,0,5347,0,4196,4196,0,4196,0,763,763,0,763,0,1831,1831,0,1831,0,4407,,,,,0.11395091021093486,0.11395091021093486,0,0.11395091021093486,0,1.1395091021093486,1.1395091021093486,0,1.1395091021093486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,17086,17086,0,17086,0,17086,17086,0,17086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7578,7578,0,7578,0,5423,5423,0,5423,0,1037,1037,0,1037,0,2693,2693,0,2693,0,4295,,,,,0.1539224643737871,0.1539224643737871,0,0.1539224643737871,0,1.539224643737871,1.539224643737871,0,1.539224643737871,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,20045,20045,0,20045,0,20045,20045,0,20045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9087,9087,0,9087,0,6185,6185,0,6185,0,1189,1189,0,1189,0,3403,3403,0,3403,0,2958,,,,,0.18057917583826305,0.18057917583826305,0,0.18057917583826305,0,1.8057917583826304,1.8057917583826304,0,1.8057917583826304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,24063,24063,0,24063,0,24063,24063,0,24063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11041,11041,0,11041,0,7428,7428,0,7428,0,1382,1382,0,1382,0,4200,4200,0,4200,0,4014,,,,,0.21677608920908573,0.21677608920908573,0,0.21677608920908573,0,2.167760892090857,2.167760892090857,0,2.167760892090857,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,27454,27454,0,27454,0,27454,27454,0,27454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12584,12584,0,12584,0,8739,8739,0,8739,0,1469,1469,0,1469,0,4932,4932,0,4932,0,3390,,,,,0.2473245544257258,0.2473245544257258,0,0.2473245544257258,0,2.473245544257258,2.473245544257258,0,2.473245544257258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,32182,32182,0,32182,0,32182,32182,0,32182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15546,15546,0,15546,0,9828,9828,0,9828,0,1716,1716,0,1716,0,5642,5642,0,5642,0,4758,,,,,0.28991763715774416,0.28991763715774416,0,0.28991763715774416,0,2.8991763715774415,2.8991763715774415,0,2.8991763715774415,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,37840,37840,0,37840,0,37840,37840,0,37840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18907,18907,0,18907,0,11336,11336,0,11336,0,2023,2023,0,2023,0,6476,6476,0,6476,0,5621,,,,,0.34088880088400464,0.34088880088400464,0,0.34088880088400464,0,3.4088880088400466,3.4088880088400466,0,3.4088880088400466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,42899,42899,0,42899,0,42899,42899,0,42899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22030,22030,0,22030,0,12661,12661,0,12661,0,2303,2303,0,2303,0,7340,7340,0,7340,0,4971,,,,,0.38646375975483394,0.38646375975483394,0,0.38646375975483394,0,3.8646375975483394,3.864637597548339,0,3.8646375975483394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
