date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus
2020-12-27,2020-12-28 16:15,3389,3389,0,3389,0,3389,3389,0,3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,994,0,994,0,1051,1051,0,1051,0,68,68,0,68,0,1620,1620,0,1620,0,,,,,,0.0258214697940233,0.0258214697940233,0,0.0258214697940233,0,0.258214697940233,0.258214697940233,0,0.258214697940233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,5219,5219,0,5219,0,5219,5219,0,5219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457,1457,0,1457,0,1830,1830,0,1830,0,91,91,0,91,0,2423,2423,0,2423,0,1830,,,,,0.03976460633077829,0.03976460633077829,0,0.03976460633077829,0,0.39764606330778285,0.39764606330778285,0,0.39764606330778285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,28206,28206,0,28206,0,28206,28206,0,28206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831,5831,0,5831,0,13981,13981,0,13981,0,424,424,0,424,0,10347,10347,0,10347,0,15104,,,,,0.21490716347306615,0.21490716347306615,0,0.21490716347306615,0,2.1490716347306615,2.1490716347306615,0,2.1490716347306615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,37955,37955,0,37955,0,37955,37955,0,37955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7840,7840,0,7840,0,18450,18450,0,18450,0,718,718,0,718,0,14265,14265,0,14265,0,9749,,,,,0.289186747132533,0.289186747132533,0,0.289186747132533,0,2.8918674713253303,2.8918674713253303,0,2.8918674713253303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,39005,39005,0,39005,0,39005,39005,0,39005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7840,7840,0,7840,0,19500,19500,0,19500,0,718,718,0,718,0,14265,14265,0,14265,0,1050,,,,,0.2971869074405072,0.2971869074405072,0,0.2971869074405072,0,2.9718690744050718,2.9718690744050718,0,2.9718690744050718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,57833,57833,0,57833,0,57833,57833,0,57833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12855,12855,0,12855,0,25636,25636,0,25636,0,1091,1091,0,1091,0,20428,20428,0,20428,0,11742,,,,,0.44064121056292405,0.44064121056292405,0,0.44064121056292405,0,4.40641210562924,4.40641210562924,0,4.40641210562924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,66258,66258,0,66258,0,66258,66258,0,66258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15480,15480,0,15480,0,31755,31755,0,31755,0,1280,1280,0,1280,0,23823,23823,0,23823,0,8425,,,,,0.5048329730340502,0.5048329730340502,0,0.5048329730340502,0,5.048329730340502,5.048329730340502,0,5.048329730340502,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,77876,77876,0,77876,0,77876,77876,0,77876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18188,18188,0,18188,0,38306,38306,0,38306,0,1554,1554,0,1554,0,26500,26500,0,26500,0,11618,,,,,0.593352842041711,0.593352842041711,0,0.593352842041711,0,5.93352842041711,5.933528420417111,0,5.93352842041711,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,82749,82749,0,82749,0,82749,82749,0,82749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18957,18957,0,18957,0,40959,40959,0,40959,0,1573,1573,0,1573,0,28182,28182,0,28182,0,4873,,,,,0.6304812050710045,0.6304812050710045,0,0.6304812050710045,0,6.304812050710045,6.304812050710044,0,6.304812050710045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,84349,84349,0,84349,0,84349,84349,0,84349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19266,19266,0,19266,0,41737,41737,0,41737,0,1595,1595,0,1595,0,28908,28908,0,28908,0,1600,,,,,0.6426719255402984,0.6426719255402984,0,0.6426719255402984,0,6.426719255402984,6.426719255402984,0,6.426719255402984,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,2021-01-08 11:00,88916,88916,0,88916,0,88916,88916,0,88916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20212,20212,0,20212,0,44516,44516,0,44516,0,1609,1609,0,1609,0,30110,30110,0,30110,0,4567,,,,,0.6774688132798394,0.6774688132798394,0,0.6774688132798394,0,6.774688132798395,6.774688132798395,0,6.774688132798395,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-09 11:00,93966,93966,0,93966,0,93966,93966,0,93966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20665,20665,0,20665,0,47801,47801,0,47801,0,1676,1676,0,1676,0,31568,31568,0,31568,0,5050,,,,,0.7159457747610486,0.7159457747610486,0,0.7159457747610486,0,7.159457747610485,7.159457747610486,0,7.159457747610485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,2021-01-11 11:00,120136,120136,0,120136,0,120136,120136,0,120136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27674,27674,0,27674,0,59598,59598,0,59598,0,2117,2117,0,2117,0,41058,41058,0,41058,0,12109,,,,,0.9153402464369381,0.9153402464369381,0,0.9153402464369381,0,9.153402464369382,9.153402464369382,0,9.153402464369382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2021-01-12 11:00,135986,135986,0,135986,0,135986,135986,0,135986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31681,31681,0,31681,0,68550,68550,0,68550,0,2310,2310,0,2310,0,44715,44715,0,44715,0,15850,,,,,1.0361045710858816,1.0361045710858816,0,1.0361045710858816,0,10.361045710858816,10.361045710858816,0,10.361045710858816,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,2021-01-13 11:00,150511,150511,0,150511,0,150511,150511,0,150511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35434,35434,0,35434,0,76344,76344,0,76344,0,2606,2606,0,2606,0,48443,48443,0,48443,0,14525,,,,,1.146773455346191,1.146773455346191,0,1.146773455346191,0,11.46773455346191,11.46773455346191,0,11.46773455346191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,2021-01-14 11:00,167915,167915,0,167915,0,167915,167915,0,167915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40128,40128,0,40128,0,84910,84910,0,84910,0,2880,2880,0,2880,0,53456,53456,0,53456,0,17404,,,,,1.2793780172509361,1.2793780172509361,0,1.2793780172509361,0,12.793780172509361,12.793780172509361,0,12.793780172509361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,2021-01-15 11:00,183573,183573,0,183573,0,183573,183573,0,183573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44096,44096,0,44096,0,93673,93673,0,93673,0,3143,3143,0,3143,0,57247,57247,0,57247,0,15658,,,,,1.3986794554435644,1.3986794554435644,0,1.3986794554435644,0,13.986794554435644,13.986794554435644,0,13.986794554435644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-16 11:00,198607,198607,0,198607,0,198607,198607,0,198607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47873,47873,0,47873,0,102769,102769,0,102769,0,3487,3487,0,3487,0,60466,60466,0,60466,0,15034,,,,,1.5132265126531679,1.5132265126531679,0,1.5132265126531679,0,15.132265126531678,15.132265126531678,0,15.132265126531678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-17,2021-01-18 11:00,213837,213837,0,213837,0,213837,213837,0,213837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52396,52396,0,52396,0,110513,110513,0,110513,0,3924,3924,0,3924,0,64585,64585,0,64585,0,,5296,0,,,1.6292669331202598,1.6292669331202598,0,1.6292669331202598,0,16.2926693312026,16.2926693312026,0,16.2926693312026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,2021-01-19 14:00,220737,220318,419,220318,419,214043,213624,419,213624,419,6694,6694,0,6694,0,0,0,0,0,0,0,0,0,0,0,53985,53985,0,53985,0,114870,114451,419,114451,419,4018,4018,0,4018,0,65949,65949,0,65949,0,,6481,419,,,1.68183941514409,1.6786469702211937,0.0031924449228963596,1.6786469702211937,0.0031924449228963596,16.818394151440902,16.78646970221194,0.0319244492289636,16.78646970221194,0.0319244492289636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,2021-01-20 10:00,227975,226316,1659,226316,1659,220700,219041,1659,219041,1659,7275,7275,0,7275,0,0,0,0,0,0,0,0,0,0,0,55636,55636,0,55636,0,119692,118033,1659,118033,1659,4116,4116,0,4116,0,66990,66990,0,66990,0,,5998,1240,,,1.7369871868670588,1.7243469335804598,0.012640253286599191,1.7243469335804595,0.012640253286599191,17.369871868670586,17.243469335804594,0.1264025328659919,17.243469335804594,0.1264025328659919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,2021-01-21 10:00,236541,232464,4077,232464,4077,228991,224914,4077,224914,4077,7550,7550,0,7550,0,0,0,0,0,0,0,0,0,0,0,57100,57100,0,57100,0,125648,121571,4077,121571,4077,4200,4200,0,4200,0,68388,68388,0,68388,0,,6148,2418,,,1.8022532565795413,1.7711897769837215,0.03106347959581971,1.7711897769837217,0.03106347959581971,18.022532565795412,17.711897769837215,0.3106347959581971,17.711897769837215,0.3106347959581971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,2021-01-22 10:00,255002,238298,16704,238298,16704,246963,230259,16704,230259,16704,8039,8039,0,8039,0,0,0,0,0,0,0,0,0,0,0,61532,58457,3075,58457,3075,135322,124952,10370,124952,10370,4457,4305,152,4305,152,74901,69814,5087,69814,5087,,5834,12627,,,1.9429113131943139,1.8156401914948848,0.1272711216994291,1.8156401914948848,0.1272711216994291,19.42911313194314,18.156401914948848,1.272711216994291,18.156401914948848,1.272711216994291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,2021-01-23 10:00,290869,244058,46811,244058,46811,282464,235653,46811,235653,46811,8405,8405,0,8405,0,0,0,0,0,0,0,0,0,0,0,66289,60054,6235,60054,6235,145490,129305,16185,129305,16185,4772,4484,288,4484,288,80626,71126,9500,71126,9500,,6990,11644,,,2.216189170114418,1.8595267851843431,0.3566623849300752,1.8595267851843431,0.3566623849300752,22.16189170114418,18.59526785184343,3.566623849300752,18.59526785184343,3.566623849300752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,2021-01-25 10:00,322334,254916,67418,254916,67418,313802,246384,67418,246384,67418,8532,8532,0,8532,0,0,0,0,0,0,0,0,0,0,0,75514,63298,12216,63298,12216,160990,135224,25766,135224,25766,5334,4812,522,4812,522,90769,73565,17204,73565,17204,,4878,8102,,,2.455927307343378,1.9422560619690894,0.5136712453742882,1.9422560619690894,0.5136712453742882,24.559273073433776,19.422560619690895,5.1367124537428825,19.422560619690895,5.1367124537428825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
