date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus
2020-12-27,2020-12-28 16:15,3112,3112,0,3112,0,3112,3112,0,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,1086,0,1086,0,1694,1694,0,1694,0,154,154,0,154,0,1347,1347,0,1347,0,,,,,,0.04949046449790715,0.04949046449790715,0,0.04949046449790715,0,0.4949046449790715,0.4949046449790715,0,0.4949046449790715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,4354,4354,0,4354,0,4354,4354,0,4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,1480,0,1480,0,2425,2425,0,2425,0,287,287,0,287,0,1702,1702,0,1702,0,1242,,,,,0.06924212160150635,0.06924212160150635,0,0.06924212160150635,0,0.6924212160150635,0.6924212160150635,0,0.6924212160150635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,15674,15674,0,15674,0,15674,15674,0,15674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4677,4677,0,4677,0,8681,8681,0,8681,0,712,712,0,712,0,6512,6512,0,6512,0,6226,,,,,0.24926527652319946,0.24926527652319946,0,0.24926527652319946,0,2.4926527652319943,2.4926527652319943,0,2.4926527652319943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,21373,21373,0,21373,0,21373,21373,0,21373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6073,6073,0,6073,0,12345,12345,0,12345,0,821,821,0,821,0,8513,8513,0,8513,0,5699,,,,,0.3398970751008257,0.3398970751008257,0,0.3398970751008257,0,3.3989707510082567,3.3989707510082567,0,3.3989707510082567,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,24791,24791,0,24791,0,24791,24791,0,24791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6909,6909,0,6909,0,14480,14480,0,14480,0,955,955,0,955,0,9680,9680,0,9680,0,3418,,,,,0.3942538898996196,0.3942538898996196,0,0.3942538898996196,0,3.942538898996196,3.942538898996196,0,3.942538898996196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,30085,30085,0,30085,0,30085,30085,0,30085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8443,8443,0,8443,0,17635,17635,0,17635,0,1096,1096,0,1096,0,11569,11569,0,11569,0,5294,,,,,0.4784449307260722,0.4784449307260722,0,0.4784449307260722,0,4.784449307260722,4.784449307260722,0,4.784449307260722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,33405,33405,0,33405,0,33405,33405,0,33405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9387,9387,0,9387,0,19405,19405,0,19405,0,1185,1185,0,1185,0,12955,12955,0,12955,0,3320,,,,,0.5312432411801377,0.5312432411801377,0,0.5312432411801377,0,5.312432411801376,5.312432411801376,0,5.312432411801376,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,37795,37795,0,37795,0,37795,37795,0,37795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10329,10329,0,10329,0,22051,22051,0,22051,0,1492,1492,0,1492,0,14561,14561,0,14561,0,4390,,,,,0.6010578745817483,0.6010578745817483,0,0.6010578745817483,0,6.010578745817483,6.010578745817483,0,6.010578745817483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,41298,41298,0,41298,0,41298,41298,0,41298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11393,11393,0,11393,0,23963,23963,0,23963,0,1657,1657,0,1657,0,15925,15925,0,15925,0,3503,,,,,0.6567664533530108,0.6567664533530108,0,0.6567664533530108,0,6.567664533530108,6.567664533530108,0,6.567664533530108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,44122,44122,0,44122,0,44122,44122,0,44122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11916,11916,0,11916,0,25931,25931,0,25931,0,1853,1853,0,1853,0,16780,16780,0,16780,0,2824,,,,,0.7016768234500833,0.7016768234500833,0,0.7016768234500833,0,7.016768234500834,7.016768234500833,0,7.016768234500834,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
