date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,personen_auffr_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,personen_auffr_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,personen_auffr_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,personen_auffr_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,personen_auffr_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_alter_auffr,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_beruf_auffr,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_medizinisch_auffr,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,indikation_pflegeheim_auffr,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,personen_auffr_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_quote_auffr,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,impf_inzidenz_auffr,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,personen_auffr_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_quote_auffr_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,impf_inzidenz_auffr_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,personen_auffr_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_quote_auffr_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,impf_inzidenz_auffr_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,personen_auffr_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_quote_auffr_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,impf_inzidenz_auffr_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,personen_auffr_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_quote_auffr_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,impf_inzidenz_auffr_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,personen_auffr_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_quote_auffr_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus,impf_inzidenz_auffr_alter_60plus
2020-12-27,2020-12-28 16:15,590,590,0,590,0,,590,590,0,590,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,,0,,0,,240,240,0,240,0,,,,0,,0,,350,350,0,350,0,,,,,,,,0.03668839365775823,0.03668839365775823,0,0.03668839365775823,0,,0.3668839365775823,0.3668839365775823,0,0.3668839365775823,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,4170,4170,0,4170,0,,4170,4170,0,4170,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,100,100,0,100,0,,1862,1862,0,1862,0,,2,2,0,2,0,,2209,2209,0,2209,0,,3488,,,,,,0.25930610432686746,0.25930610432686746,0,0.25930610432686746,0,,2.5930610432686745,2.5930610432686745,0,2.5930610432686745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,11101,11101,0,11101,0,,11101,11101,0,11101,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,173,173,0,173,0,,6349,6349,0,6349,0,,7,7,0,7,0,,4651,4651,0,4651,0,,3640,,,,,,0.6903014542284307,0.6903014542284307,0,0.6903014542284307,0,,6.903014542284306,6.903014542284306,0,6.903014542284306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,11494,11494,0,11494,0,,11494,11494,0,11494,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,178,178,0,178,0,,6583,6583,0,6583,0,,8,8,0,8,0,,4804,4804,0,4804,0,,393,,,,,,0.7147396554275814,0.7147396554275814,0,0.7147396554275814,0,,7.147396554275814,7.147396554275814,0,7.147396554275814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,11494,11494,0,11494,0,,11494,11494,0,11494,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,178,178,0,178,0,,6583,6583,0,6583,0,,8,8,0,8,0,,4804,4804,0,4804,0,,,,,,,,0.7147396554275814,0.7147396554275814,0,0.7147396554275814,0,,7.147396554275814,7.147396554275814,0,7.147396554275814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,11494,11494,0,11494,0,,11494,11494,0,11494,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,178,178,0,178,0,,6583,6583,0,6583,0,,8,8,0,8,0,,4804,4804,0,4804,0,,,,,,,,0.7147396554275814,0.7147396554275814,0,0.7147396554275814,0,,7.147396554275814,7.147396554275814,0,7.147396554275814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,11494,11494,0,11494,0,,11494,11494,0,11494,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,178,178,0,178,0,,6583,6583,0,6583,0,,8,8,0,8,0,,4804,4804,0,4804,0,,,,,,,,0.7147396554275814,0.7147396554275814,0,0.7147396554275814,0,,7.147396554275814,7.147396554275815,0,7.147396554275814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,13832,13832,0,13832,0,,13832,13832,0,13832,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,242,242,0,242,0,,7738,7738,0,7738,0,,29,29,0,29,0,,5968,5968,0,5968,0,,1773,,,,,,0.8601251882612064,0.8601251882612064,0,0.8601251882612064,0,,8.601251882612065,8.601251882612065,0,8.601251882612065,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,18014,18014,0,18014,0,,18014,18014,0,18014,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,456,456,0,456,0,,10024,10024,0,10024,0,,27,27,0,27,0,,7828,7828,0,7828,0,,2570,,,,,,1.120177497204842,1.120177497204842,0,1.120177497204842,0,,11.201774972048419,11.201774972048419,0,11.201774972048419,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,21713,21713,0,21713,0,,21713,21713,0,21713,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,811,811,0,811,0,,11746,11746,0,11746,0,,46,46,0,46,0,,9712,9712,0,9712,0,,2359,,,,,,1.3501950703235668,1.3501950703235668,0,1.3501950703235668,0,,13.501950703235668,13.501950703235668,0,13.501950703235668,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
