date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus
2020-12-27,2020-12-28 16:15,5405,5405,0,5405,0,5405,5405,0,5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,1370,1370,0,1370,0,,,0,,0,3985,3985,0,3985,0,,,,,,0.03011608315292936,0.03011608315292936,0,0.03011608315292936,0,0.30116083152929357,0.30116083152929357,0,0.30116083152929357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,7136,7136,0,7136,0,7136,7136,0,7136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,1788,1788,0,1788,0,,,0,,0,5348,5348,0,5348,0,518,,,,,0.03976103041245216,0.03976103041245216,0,0.03976103041245216,0,0.3976103041245216,0.3976103041245216,0,0.3976103041245216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,19930,19930,0,19930,0,19930,19930,0,19930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,6610,6610,0,6610,0,,0,0,0,0,13693,13693,0,13693,0,7359,,,,,0.11104783297648142,0.11104783297648142,0,0.11104783297648142,0,1.1104783297648142,1.1104783297648142,0,1.1104783297648142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,24924,24924,0,24924,0,24924,24924,0,24924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,8963,8963,0,8963,0,,,0,,0,16334,16334,0,16334,0,3033,,,,,0.1388738679932676,0.1388738679932676,0,0.1388738679932676,0,1.388738679932676,1.388738679932676,0,1.388738679932676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,33375,33375,0,33375,0,33375,33375,0,33375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,11846,11846,0,11846,0,0,0,0,0,0,21537,21537,0,21537,0,7908,,,,,0.1859619380627229,0.1859619380627229,0,0.1859619380627229,0,1.8596193806272292,1.8596193806272292,0,1.8596193806272292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,48691,48691,0,48691,0,48691,48691,0,48691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,18806,18806,0,18806,0,,,0,,0,29893,29893,0,29893,0,13142,,,,,0.2713010554670275,0.2713010554670275,0,0.2713010554670275,0,2.7130105546702747,2.7130105546702747,0,2.7130105546702747,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,53841,53841,0,53841,0,53841,53841,0,53841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21354,21354,0,21354,0,0,0,0,0,0,32495,32495,0,32495,0,3539,,,,,0.2999963058347585,0.2999963058347585,0,0.2999963058347585,0,2.9999630583475847,2.999963058347585,0,2.9999630583475847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,62692,62692,0,62692,0,62692,62692,0,62692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25744,25744,0,25744,0,0,0,0,0,0,36956,36956,0,36956,0,4435,,,,,0.34931313321432883,0.34931313321432883,0,0.34931313321432883,0,3.4931313321432884,3.4931313321432884,0,3.4931313321432884,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,69225,69225,0,69225,0,69225,69225,0,69225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,28846,28846,0,28846,0,,,0,,0,40387,40387,0,40387,0,4160,,,,,0.3857143119817826,0.3857143119817826,0,0.3857143119817826,0,3.8571431198178256,3.8571431198178256,0,3.8571431198178256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,79578,79578,0,79578,0,79578,79578,0,79578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,33961,33961,0,33961,0,,,0,,0,45625,45625,0,45625,0,8851,,,,,0.44340012306083487,0.44340012306083487,0,0.44340012306083487,0,4.434001230608349,4.43400123060835,0,4.434001230608349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
