date,publication_date,dosen_kumulativ,personen_erst_kumulativ,personen_voll_kumulativ,personen_min1_kumulativ,personen_zweit_kumulativ,personen_auffr_kumulativ,dosen_biontech_kumulativ,personen_erst_biontech_kumulativ,personen_voll_biontech_kumulativ,personen_min1_biontech_kumulativ,personen_zweit_biontech_kumulativ,personen_auffr_biontech_kumulativ,dosen_moderna_kumulativ,personen_erst_moderna_kumulativ,personen_voll_moderna_kumulativ,personen_min1_moderna_kumulativ,personen_zweit_moderna_kumulativ,personen_auffr_moderna_kumulativ,dosen_astrazeneca_kumulativ,personen_erst_astrazeneca_kumulativ,personen_voll_astrazeneca_kumulativ,personen_min1_astrazeneca_kumulativ,personen_zweit_astrazeneca_kumulativ,personen_auffr_astrazeneca_kumulativ,dosen_janssen_kumulativ,personen_erst_janssen_kumulativ,personen_voll_janssen_kumulativ,personen_min1_janssen_kumulativ,personen_zweit_janssen_kumulativ,personen_auffr_janssen_kumulativ,indikation_alter_dosen,indikation_alter_erst,indikation_alter_voll,indikation_alter_min1,indikation_alter_zweit,indikation_alter_auffr,indikation_beruf_dosen,indikation_beruf_erst,indikation_beruf_voll,indikation_beruf_min1,indikation_beruf_zweit,indikation_beruf_auffr,indikation_medizinisch_dosen,indikation_medizinisch_erst,indikation_medizinisch_voll,indikation_medizinisch_min1,indikation_medizinisch_zweit,indikation_medizinisch_auffr,indikation_pflegeheim_dosen,indikation_pflegeheim_erst,indikation_pflegeheim_voll,indikation_pflegeheim_min1,indikation_pflegeheim_zweit,indikation_pflegeheim_auffr,dosen_differenz_zum_vortag,personen_erst_differenz_zum_vortag,personen_voll_differenz_zum_vortag,personen_min1_differenz_zum_vortag,personen_zweit_differenz_zum_vortag,personen_auffr_differenz_zum_vortag,impf_quote_dosen,impf_quote_erst,impf_quote_voll,impf_quote_min1,impf_quote_zweit,impf_quote_auffr,impf_inzidenz_dosen,impf_inzidenz_erst,impf_inzidenz_voll,impf_inzidenz_min1,impf_inzidenz_zweit,impf_inzidenz_auffr,dosen_kumulativ_alter_unter12,personen_erst_kumulativ_alter_unter12,personen_voll_kumulativ_alter_unter12,personen_min1_kumulativ_alter_unter12,personen_zweit_kumulativ_alter_unter12,personen_auffr_kumulativ_alter_unter12,impf_quote_dosen_alter_unter12,impf_quote_erst_alter_unter12,impf_quote_voll_alter_unter12,impf_quote_min1_alter_unter12,impf_quote_zweit_alter_unter12,impf_quote_auffr_alter_unter12,impf_inzidenz_dosen_alter_unter12,impf_inzidenz_erst_alter_unter12,impf_inzidenz_voll_alter_unter12,impf_inzidenz_min1_alter_unter12,impf_inzidenz_zweit_alter_unter12,impf_inzidenz_auffr_alter_unter12,dosen_kumulativ_alter_12bis17,personen_erst_kumulativ_alter_12bis17,personen_voll_kumulativ_alter_12bis17,personen_min1_kumulativ_alter_12bis17,personen_zweit_kumulativ_alter_12bis17,personen_auffr_kumulativ_alter_12bis17,impf_quote_dosen_alter_12bis17,impf_quote_erst_alter_12bis17,impf_quote_voll_alter_12bis17,impf_quote_min1_alter_12bis17,impf_quote_zweit_alter_12bis17,impf_quote_auffr_alter_12bis17,impf_inzidenz_dosen_alter_12bis17,impf_inzidenz_erst_alter_12bis17,impf_inzidenz_voll_alter_12bis17,impf_inzidenz_min1_alter_12bis17,impf_inzidenz_zweit_alter_12bis17,impf_inzidenz_auffr_alter_12bis17,dosen_kumulativ_alter_unter18,personen_erst_kumulativ_alter_unter18,personen_voll_kumulativ_alter_unter18,personen_min1_kumulativ_alter_unter18,personen_zweit_kumulativ_alter_unter18,personen_auffr_kumulativ_alter_unter18,impf_quote_dosen_alter_unter18,impf_quote_erst_alter_unter18,impf_quote_voll_alter_unter18,impf_quote_min1_alter_unter18,impf_quote_zweit_alter_unter18,impf_quote_auffr_alter_unter18,impf_inzidenz_dosen_alter_unter18,impf_inzidenz_erst_alter_unter18,impf_inzidenz_voll_alter_unter18,impf_inzidenz_min1_alter_unter18,impf_inzidenz_zweit_alter_unter18,impf_inzidenz_auffr_alter_unter18,dosen_kumulativ_alter_18bis59,personen_erst_kumulativ_alter_18bis59,personen_voll_kumulativ_alter_18bis59,personen_min1_kumulativ_alter_18bis59,personen_zweit_kumulativ_alter_18bis59,personen_auffr_kumulativ_alter_18bis59,impf_quote_dosen_alter_18bis59,impf_quote_erst_alter_18bis59,impf_quote_voll_alter_18bis59,impf_quote_min1_alter_18bis59,impf_quote_zweit_alter_18bis59,impf_quote_auffr_alter_18bis59,impf_inzidenz_dosen_alter_18bis59,impf_inzidenz_erst_alter_18bis59,impf_inzidenz_voll_alter_18bis59,impf_inzidenz_min1_alter_18bis59,impf_inzidenz_zweit_alter_18bis59,impf_inzidenz_auffr_alter_18bis59,dosen_kumulativ_alter_60plus,personen_erst_kumulativ_alter_60plus,personen_voll_kumulativ_alter_60plus,personen_min1_kumulativ_alter_60plus,personen_zweit_kumulativ_alter_60plus,personen_auffr_kumulativ_alter_60plus,impf_quote_dosen_alter_60plus,impf_quote_erst_alter_60plus,impf_quote_voll_alter_60plus,impf_quote_min1_alter_60plus,impf_quote_zweit_alter_60plus,impf_quote_auffr_alter_60plus,impf_inzidenz_dosen_alter_60plus,impf_inzidenz_erst_alter_60plus,impf_inzidenz_voll_alter_60plus,impf_inzidenz_min1_alter_60plus,impf_inzidenz_zweit_alter_60plus,impf_inzidenz_auffr_alter_60plus
2020-12-27,2020-12-28 16:15,182,182,0,182,0,,182,182,0,182,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,90,90,0,90,0,,69,69,0,69,0,,0,0,0,0,0,,113,113,0,113,0,,,,,,,,0.004469579965083248,0.004469579965083248,0,0.004469579965083248,0,,0.044695799650832486,0.044695799650832486,0,0.044695799650832486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,2020-12-29 08:00,857,857,0,857,0,,857,857,0,857,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,240,240,0,240,0,,551,551,0,551,0,,1,1,0,1,0,,305,305,0,305,0,,675,,,,,,0.021046318846573316,0.021046318846573316,0,0.021046318846573316,0,,0.21046318846573317,0.21046318846573317,0,0.21046318846573317,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,2020-12-31 08:30,2653,2653,0,2653,0,,2653,2653,0,2653,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,150,150,0,150,0,,2460,2460,0,2460,0,,1,1,0,1,0,,192,192,0,192,0,,1166,,,,,,0.06515272333717505,0.06515272333717505,0,0.06515272333717505,0,,0.6515272333717504,0.6515272333717504,0,0.6515272333717504,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,2021-01-01 12:30,3290,3290,0,3290,0,,3290,3290,0,3290,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,226,226,0,226,0,,2754,2754,0,2754,0,,1,1,0,1,0,,535,535,0,535,0,,637,,,,,,0.08079625321496642,0.08079625321496642,0,0.08079625321496642,0,,0.8079625321496642,0.8079625321496642,0,0.8079625321496642,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-02 08:00,4000,4000,0,4000,0,,4000,4000,0,4000,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,297,297,0,297,0,,3320,3320,0,3320,0,,1,1,0,1,0,,679,679,0,679,0,,710,,,,,,0.09823252670512633,0.09823252670512633,0,0.09823252670512633,0,,0.9823252670512633,0.9823252670512633,0,0.9823252670512633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,2021-01-03 08:00,4343,4343,0,4343,0,,4343,4343,0,4343,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,368,368,0,368,0,,3535,3535,0,3535,0,,1,1,0,1,0,,807,807,0,807,0,,343,,,,,,0.10665596587009092,0.10665596587009092,0,0.10665596587009092,0,,1.0665596587009092,1.0665596587009092,0,1.0665596587009092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,2021-01-04 12:00,4866,4866,0,4866,0,,4866,4866,0,4866,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,487,487,0,487,0,,3765,3765,0,3765,0,,1,1,0,1,0,,1100,1100,0,1100,0,,523,,,,,,0.1194998687367862,0.1194998687367862,0,0.1194998687367862,0,,1.194998687367862,1.194998687367862,0,1.194998687367862,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,2021-01-05 12:00,7740,7740,0,7740,0,,7740,7740,0,7740,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,662,662,0,662,0,,6354,6354,0,6354,0,,1,1,0,1,0,,1385,1385,0,1385,0,,2874,,,,,,0.19007993917441945,0.19007993917441945,0,0.19007993917441945,0,,1.9007993917441945,1.9007993917441948,0,1.9007993917441945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,2021-01-06 11:00,10767,10767,0,10767,0,,10767,10767,0,10767,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,820,820,0,820,0,,8945,8945,0,8945,0,,1,1,0,1,0,,1821,1821,0,1821,0,,3027,,,,,,0.2644174037585238,0.2644174037585238,0,0.2644174037585238,0,,2.644174037585238,2.6441740375852385,0,2.644174037585238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,2021-01-07 11:00,13006,13006,0,13006,0,,13006,13006,0,13006,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,858,858,0,858,0,,11072,11072,0,11072,0,,1,1,0,1,0,,1933,1933,0,1933,0,,2239,,,,,,0.3194030605817183,0.3194030605817183,0,0.3194030605817183,0,,3.194030605817183,3.194030605817183,0,3.194030605817183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
